Civilization,Leader,Unique Ability,Unique Unit,Unique Extra,DLC
France,Napoleon,City of Light: Museum and World Wonder theming bonuses are doubled in their capital.,Musketeer,Chateau,
Germany,Bismarck,"Furor Teutonicus: Upon defeating a Barbarian unit inside an encampment, there is a 67% chance you earn 25 Gold and they join your side. Pay 25% less for land unit maintenance.",Panzer,Hanse,
Greece,Alexander,Hellenic League: City-State Influence degrades at half and recovers at twice the normal rate.,Companion Cavalry,Hoplite,
Huns,Attila,Scourge of God: Raze Cities at double speed. Borrow City names from other in-game Civs. Start with Animal Husbandry technology. +1 Production per Pasture.,Horse Archer,Battering Ram,Gods & Kings
Inca,Pachacuti,Great Andean Road: Units ignore terrain costs when moving into any tile with Hills. No maintenance costs for improvements in Hills; half cost elsewhere.,Slinger,Terrace Farm,Inca DLC
India,Gandhi,"Population Growth: Unhappiness from number of Cities doubled, Unhappiness from number of Citizens halved.",War Elephant,Mughal Fort,
Indonesia,Gajah Mada,Spice Islanders: The first 3 cities founded on continents other than where Indonesia started each provide 2 unique Luxury Resources (and can never be razed).,Kris Swordsman,Candi,Brave New World
Iroquois,Hiawatha,The Great Warpath: Units move through Forest and Jungle in friendly territory as if they were Roads. These tiles can be used to establish City Connections upon researching The Wheel. Caravans move along Forest and Jungle as if they were Roads.,Mohawk Warrior,Longhouse,
Japan,Oda Nobunaga,Bushido: Units fight as though they were at full strength even when damaged. +1 Culture from each Fishing Boat and +2 Culture from each Atoll,Samurai,Zero,
Korea,Sejong,Scholars of the Jade Hall: +2 science for all specialists and for all Great Person tile improvements. Receive a tech boost each time a scientific building/Wonder is built in the Korean capital.,Turtle Ship,Hwach’a,Korea DLC
Maya,Pacal,"The Long Count: After researching Theology, receive a bonus Great Person at the end of every Maya Long Count calendar cycle (every 394 years). Each bonus person can only be chosen once.",Atlatlist,Pyramid,Gods & Kings
Mongolia,Genghis Khan,Mongol Terror: Combat Strength +30% when fighting City-State units or attacking a City-State itself. All mounted units have +1 Movement.,Keshik,Khan,Mongolia DLC
Morocco,Ahmad al-Mansur,Gateway to Africa: Receives +3 Gold and +1 Culture for each Trade Route with a different civ or City-State. The Trade Route owners receive +2 Gold for each Trade Route sent to Morocco.,Berber Cavalry,Kasbah,Brave New World
Netherlands,William,Dutch East India Company: Retains 50% of the Happiness benefits from a Luxury Resource if your last copy of it is traded away.,Sea Beggar,Polder,Gods & Kings
Ottomans,Suleiman,"Barbary Corsairs: All melee naval units have the Prize Ships promotion, allowing them to capture defeated ships. Pay only one-third the usual cost for naval unit maintenance.",Janissary,Sipahi,
Persia,Darius I,"Achaemenid Legacy: Golden Ages last 50% longer. During a Golden Age, units recieve +1 Movement and a +10% Combat Strength bonus.",Immortal,Satrap’s Court,
Poland,Casimir III,Solidarity: Receive a free Social Policy at the start of each new Era.,Winged Hussar,Ducal Stable,Brave New World
Polynesia,Kamehameha,Wayfinding: Can embark and move over Oceans immediately. +1 Sight when embarked. +10% Combat Strength bonus if within 2 tiles of a Moai.,Maori Warrior,Moai,Polynesia DLC
Portugal,Maria I,Mare Clausum: Resource diversity grants twice as much Gold for Portugal in International Trade Routes.,Nau,Feitoria,Brave New World
Rome,Augustus Caesar,The Glory of Rome: +25% Production towards any buildings that already exist in the Capital.,Ballista,Legion,
Russia,Catherine,"Siberian Riches: Strategic Resources provide +1 Production and Horse, Iron and Uranium Resources provide double quantity.",Cossack,Krepost,
Shoshone,Pocatello,Great Expanse: Founded cities start with additional territory. Units receive a combat bonus when fighting in their own territory.,Pathfinder,Comanche Riders,Brave New World
Siam,Ramkhamhaeng,"Father Governs Children: Food, Culture and Faith from friendly City-States increased by 50%.",Naresuan’s Elephant,Wat,
Songhai,Askia,"River Warlord: Receive triple Gold from Barbarian encampments and pillaging Cities. Land units gain the War Canoe and Amphibious promotions, strengthening them while embarked.",Mandekalu Cavalry,Mud Pyramid Mosque,
Spain,Isabella,"Seven Cities of Gold: Gold bonus for discovering a Natural Wonder (bonus enhanced if first to discover it). Culture, happiness, and tile yields from Natural Wonders doubled.",Tercio,Conquistador,Spain DLC
Sweden,Gustavus Adolphus,"Nobel Prize: Gain 90 Influence with a Great Person gift to a City-State. When declaring friendship, Sweden and their friend gain a +10% boost to Great Person generation.",Hakkapeliitta,Carolean,Gods & Kings
Venice,Enrico Dandolo,Serenissima: Cannot gain settlers nor annex cities. Double the normal number of Trade Routes available. A Merchant of Venice appears after researching Optics. May purchase in puppeted cities.,Merchant of Venice,Great Galleass,Brave New World
Zulus,Shaka,Iklwa: Melee units cost 50% less maintenance; all military units require 25% less XP to earn a promotion.,Impi,Ikanda,Brave New World
